2017 2 4,"4 S   Sf. Cuv. Isidor Pelusiotul; Sf. Sfinţit Mc. Avramie"
2017 2 5,"<r>5 D   Sf. Mc. Agata şi Teodula	(Începutul Triodului) <br><b>Duminica a XXXIII-a după Rusalii</b>	(a Vameșului și Fariseului); Ap. II Timotei III, 10-15; Ev. Luca XVIII, 10-14; glas 8, voscr. 11</r>"
2017 2 6,"6 L   Sf. Ier. Vucol, episcopul Smirnei si Fotie, patriarhul Constantinopolului; Sf. Cuv. Varsanufie cel Mare"
2017 2 7,"7 M   Sf. Ier. Partenie, episcopul Lampsacului; Sf. Cuv. Luca din Elada"
2017 2 8,"8 M   Sf. Mare Mc. Teodor Stratilat; Sf. Prooroc Zaharia; Sf. Mc. surori Marta şi Maria	(Harţi)"
2017 2 9,"9 J   Sf. Mc. Nichifor; Sf. Sfinţiţi Mc. Marcel şi Pangratie	(Odovania Praznicului Întâmpinării Domnului)"
2017 2 10,"10 V   †) Sf. Sfinţit Mc. Haralambie; Sf. Mc. Enata şi Valentina	(Harţi)"
2017 2 11,"11 S   Sf. Ier. Vlasie, episcopul Sevastiei; Sf. Teodora împărăteasa"
2017 2 12,"<r>12 D   Sf. Ier. Meletie, arhiepiscopul Antiohiei celei Mari; Sf. Antonie, patriarhul Constantinopolului; Sf. Mc. Hristea <br><b>Duminica a XXXIV-a după Rusalii</b>	(a Fiului Risipitor); Ap. I Corinteni VI, 12-20; Ev. Luca XV, 11-32; glas 1, voscr. 1</r>"
2017 2 13,"13 L   Sf. Cuv. Martinian; Sf. Ap. şi Mc. Acvila şi soţia sa Priscila; Sf. Ier. Evloghie, patriarhul Alexandriei"
2017 2 14,"14 M   Sf. Cuv. Auxenţiu, Maron şi Avraam; Sf. Filimon, Ep. Gazei"
2017 2 15,"15 M   Sf. Ap. Onisim; Sf. Mc. Maior; Sf. Cuv. Eusebiu din Siria	(Post)"
2017 2 16,"16 J   Sf. Sfinţit Mc. Pamfil; Sf. Mc. Valent, Pavel şi Seleuc; Sf. Cuv. Flavian, arhiepiscopul Constantinopolului"
2017 2 17,"17 V   Sf. M. Mc. Teodor Tiron; Sf. Mariamna; Sf. Împăraţi Marcian şi Pulheria	(Post)"
2017 2 18,"18 S   Sf. Leon, Ep. Romei; Sf. Agapit, Ep. Sinadei	(Pomenirea morților - Moșii de iarnă)"
2017 2 19,"<r>19 D   Sf. Ap. Arhip, Filimon şi soţia sa, Apfia; Sf. Cuv. Mărt. Evghenie şi Macarie <br><b>Duminica Lăsatului sec de carne</b>	(a Înfricoșătoarei Judecăți); Ap. I Corinteni VIII, 8-13; IX, 1-2; Ev. Matei XXV, 31-46; glas 2, voscr. 2</r>"
2017 2 20,"20 L   Sf. Leon, Ep. Cataniei; Sf. Agaton, Ep. Romei; Sf. Cuv. Visarion	(Dezlegare la ouă, lapte şi brânză)"
2017 2 21,"21 M   Sf. Cuv. Timotei; Sf. Eustatie, Ep. Antiohiei	(Dezlegare la ouă, lapte şi brânză)"
2017 2 22,"22 M   Aflarea moaştelor Sf. Mc. din Evghenia; Sf. Cuv. Atanasie, Talasie şi Limneu	(Zi aliturgică) (Dezlegare la ouă, lapte şi brânză) (Dezlegare la peste)"
2017 2 23,"23 J   Sf. Mc. Policarp, Ep. Smirnei; Sf. Cuv. Gorgonia	(Dezlegare la ouă, lapte şi brânză)"
2017 2 24,"24 V   † Întâia şi a doua aflare a Capului Sf. Ioan Înaintemergătorul şi Botezătorul Domnului	(Zi aliturgică) (Dezlegare la ouă, lapte şi brânză) (Dezlegare la peste)"
2017 2 25,"25 S   Sf. Tarasie, patriarhul Constantinopolului; Sf. Mc. Alexandru şi Ipatie	(Dezlegare la ouă, lapte şi brânză)"
2017 2 26,"<r>26 D   Sf. Porfirie, Arhiep. Gazei; Sf. Mc. Fotini; Sf. Teodor	(Lăsatul secului pentru Postul Mare) <br><b>Duminica Lăsatului sec de brânză</b>	(a Izgonirii lui Adam din Rai); Ap. Romani XIII, 11-14; XIV, 1-4; Ev. Matei VI, 14-21; glas 3, voscr. 3</r>"
2017 2 27,"27 L   Sf. Cuv. Mărt. Procopie şi Talaleu	(Canonul cel Mare, partea I; Începutul Postului Mare) (Zi aliturgică) (Numai seara, pâine şi apă)"
2017 2 28,"28 M   <a>†) Sf. Cuv. Ioan Casian Romanul şi Gherman din Dobrogea;</a> Sf. Cuv. Vasile Mărturisitorul; Sf. Sfinţit Mc. Nestor; Sf. Sfinţit Mc. Proterie	(Canonul cel Mare, partea a II-a) (Zi aliturgică) (Numai seara, pâine şi apă)"

2017 3 1,"1 M   Sf. Cuv. Mc. Evdochia; Sf. Cuv. Domnina; Sf. Mc. Antonina; Sf. Mc. Marcel şi Antonie	(Canonul cel Mare, partea a III-a) (Post)"
2017 3 2,"2 J   Sf. Sfinţit Mc. Teodot; Sf. Mc. Isihie şi Nestor	(Canonul cel Mare, partea a IV-a) (Post)"
2017 3 3,"3 V   Sf. Mc. Eutropie, Cleonic şi Vasilisc	(Post)"
2017 3 4,"4 S   Sf. Cuv. Gherasim de la Iordan; Sf. Mc. Pavel şi Iuliana, sora lui	(Sâmbăta Sf. Teodor - Pomenirea morților) (Dezlegare la ulei şi vin)"
2017 3 5,"<r>5 D   Sf. Mc. Conon din Isauria; Sf. Mc. Conon Grădinarul, Sf. Mc. Iraida; Sf. Cuv. Marcu Pusnicul	(Dezlegare la ulei şi vin) <br><b>Duminica I din Post</b>	(a Ortodoxiei); Ap. Evrei XI, 24-26; 32-40; Ev. Ioan I, 43-51; glas 4, voscr. 4</r>"
2017 3 6,"6 L   Sf. 42 de Mc. din Amoreea; Sf. Mc. Eufrosin; Aflarea Sfintei Cruci	(Post)"
